premise,answer1,answer2,asks-for,response,gold
My body cast a shadow over the grass.,The sun was rising.,The grass was cut.,cause,1,1
Moje je tijelo bacalo sjenu na travu.,Sunce je izlazilo.,Trava je bila pokošena.,,,
The woman tolerated her friend's difficult behavior.,The woman knew her friend was going through a hard time.,The woman felt that her friend took advantage of her kindness.,cause,,1
Žena je tolerirala problematično ponašanje svojeg prijatelja.,Žena je znala da njezin prijatelj prolazi kroz teško razdoblje.,Žena je imala osjećaj da njezin prijatelj iskorištava njezinu dobrotu.,,,
The women met for coffee.,The cafe reopened in a new location.,They wanted to catch up with each other.,cause,,2
Žene su se našle na kavi.,Kafić se otvorio na novoj lokaciji.,Htjele su razgovarati jedna s drugom.,,,
The runner wore shorts.,The forecast predicted high temperatures.,She planned to run along the beach.,cause,,1
Trkačica je nosila kratke hlače.,Na prognozi su najavljene visoke temperature.,Planirala je trčati uz plažu.,,,
The guests of the party hid behind the couch.,It was a surprise party.,It was a birthday party.,cause,,1
Gosti na zabavi sakrili su se iza dvosjeda.,To je bila zabava iznenađenja.,To je bila rođendanska zabava.,,,
The politician lost the election.,He ran negative campaign ads.,No one voted for him.,cause,,2
Političar je izgubio izbore.,Puštao je negativne reklame u kampanji.,Nitko nije glasao za njega.,,,
The stain came out of the shirt.,I patched the shirt.,I bleached the shirt.,cause,,2
Mrlja je uklonjena s košulje.,Zakrpao sam košulju. ,Izbijelio sam košulju.,,,
The man got a discount on his groceries.,He greeted the cashier.,He used a coupon.,cause,,2
Muškarac je dobio popust na namirnice.,Pozdravio je blagajnika.,Iskoristio je kupon.,,,
The physician misdiagnosed the patient.,The patient filed a malpractice lawsuit against the physician.,The patient disclosed confidential information to the physician.,effect,,1
Liječnik je pacijentu postavio pogrešnu dijagnozu.,Pacijent je podnio tužbu za nesavjesno liječenje protiv liječnika.,Pacijent je liječniku otkrio povjerljive informacije.,,,
The customer filed a complaint with the store manager.,The sales associate undercharged the customer.,The sales associate acted rude to the customer.,cause,,2
Kupac je uložio žalbu direktoru prodavaonice.,Prodavač je premalo naplatio kupcu.,Prodavač se ponašao nepristojno prema kupcu.,,,
The woman repaired her faucet.,The faucet was leaky.,The faucet was turned off.,cause,,1
Žena je popravila svoju slavinu.,Slavina je curila.,Slavina je bila zatvorena.,,,
The elderly woman suffered a stroke.,The woman's daughter came over to clean her house.,The woman's daughter moved in to take care of her.,effect,,2
Starija žena doživjela je moždani udar.,Ženina kći došla joj je očistiti kuću.,Ženina kći uselila se da bi vodila brigu o njoj.,,,
The pond froze over for the winter.,People skated on the pond.,People brought boats to the pond.,effect,,1
Jezero se zamrznulo preko zime.,Ljudi su se klizali na jezeru.,Ljudi su donijeli čamce na jezero.,,,
The offender violated parole.,She was sent back to jail.,She stole money from a church.,effect,,1
Prijestupnica je prekršila odredbe uvjetnog otpusta.,Poslana je natrag u zatvor.,Ukrala je novac iz crkve.,,,
I poured water on my sleeping friend.,My friend awoke.,My friend snored.,effect,,1
Polio sam vodu po prijatelju koji je spavao.,Moj se prijatelj probudio.,Moj je prijatelj hrkao.,,,
The girl gasped.,Her friend stuck an ice cube down her back.,Her friend gave her a pat on the back.,cause,,1
Djevojka se zgranula.,Njezin joj je prijatelj stavio kocku leda na leđa.,Njezin ju je prijatelj potapšao po leđima.,,,
The shirt shrunk.,I poured bleach on it.,I put it in the dryer.,cause,,2
Košulja se stisnula.,Polio sam izbjeljivač po njoj.,Stavio sam je u sušilicu.,,,
It got dark outside.,Snowflakes began to fall from the sky.,The moon became visible in the sky.,effect,,2
Vani se smračilo.,Snježne pahulje počele su padati s neba.,Mjesec se mogao vidjeti na nebu.,,,
I hung up the phone.,The caller said goodbye to me.,The caller identified himself to me.,cause,,1
Poklopio sam telefon.,Pozivatelj mi je rekao doviđenja.,Pozivatelj mi se predstavio.,,,
The woman's ring slipped off in the shower.,The woman polished the ring.,The ring went down the drain.,effect,,2
Ženin je prsten skliznuo pod tušem.,Žena je ulaštila prsten.,Prsten je pao u odvod.,,,
The girl received a trophy.,She won a spelling bee.,She made a new friend.,cause,,1
Djevojka je dobila trofej.,Pobijedila je na natjecanju slovkanja.,Stekla je novog prijatelja.,,,
The woman's date wanted to look like a gentleman.,He opened the door for her.,He asked her if she liked sushi.,effect,,1
Ženin partner na spoju htio je ispasti džentlmen.,Otvorio joj je vrata.,Pitao ju je voli li suši.,,,
The farmland needed irrigation.,A canal was constructed.,A flood occurred.,effect,,1
Poljoprivredna površina trebala se navodnjavati.,Izgrađen je kanal.,Dogodila se poplava.,,,
The host cancelled the party.,She was certain she had the flu.,She worried she would catch the flu.,cause,,1
Domaćica je otkazala zabavu.,Bila je sigurna da ima gripu.,Brinula se da će dobiti gripu.,,,
The woman gave the man her phone number.,She was attracted to him.,She was repulsed by him.,cause,,1
Žena je dala muškarcu broj telefona.,Privlačio ju je.,Gadio joj se.,,,
The skydiver glided safely to the ground.,She opened her parachute.,She jumped out of the plane.,cause,,1
Padobranka je sigurno sletjela na zemlju.,Otvorila je padobran.,Skočila je iz zrakoplova.,,,
The toddler became cranky.,Her mother put her down for a nap.,Her mother fixed her hair into pigtails.,effect,,1
Beba je postala razdražljiva.,Njezina ju je majka stavila na spavanje.,Njezina joj je majka svezala kosu u pletenice.,,,
The child became immune to the disease.,He avoided exposure to the disease.,He received the vaccine for the disease.,cause,,2
